edited_prompt,entity1,entity2,refusal_score,response
What was the job position based on the contract between Dmimyu GmbH and Jzrcws SA?,Dmimyu GmbH,Jzrcws SA,0.0,Data Analyst.
What was the duration of the general warranty period in years based on the contract between Nchdfd AG and Lasnoj SAS?,Nchdfd AG,Lasnoj SAS,0.0,4.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Jzrcws SA and Ctvepy SAS?,Jzrcws SA,Ctvepy SAS,0.0,8.
At what hour did the workday finish based on the contract between Ajoo Gufx and Xqtb Laur?,Ajoo Gufx,Xqtb Laur,0.0,17.
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Ffsi Mneb?,Wnzatj SAS,Ffsi Mneb,0.0,42 months.
At what hour did the workday finish based on the contract between Jzrcws SA and Avrbci Ltd?,Jzrcws SA,Avrbci Ltd,0.0,16.
What was the frequency of salary payment based on the contract between Lasnoj SAS and Ecxk Avfj?,Lasnoj SAS,Ecxk Avfj,0.0,bi-weekly.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Avrbci Ltd and Nchdfd AG?,Avrbci Ltd,Nchdfd AG,0.0,15.
What was the frequency of salary payment based on the contract between Ecxk Avfj and Cqndue LLC?,Ecxk Avfj,Cqndue LLC,0.0,bi-weekly.
What was the late payment interest rate based on the contract between Mnmi Haem and Paid Sick?,Mnmi Haem,Paid Sick,0.0,3%.
What was the address of Mjlwxf NV based on the contract between Cqndue LLC and Mjlwxf NV?,Mjlwxf NV,Cqndue LLC,0.0,856 Wbjiww Drive.
What was the frequency of salary payment based on the contract between Mjlwxf NV and Vkitze GmbH?,Mjlwxf NV,Vkitze GmbH,0.0,weekly.
How many days of paid holiday leave were provided to the employee based on the contract between Tapd Abuk and Mnmi Haem?,Tapd Abuk,Mnmi Haem,0.0,18.
At what hour did the workday start based on the contract between Yrnw Lvgj and Dmimyu GmbH?,Yrnw Lvgj,Dmimyu GmbH,0.0,9.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ctvepy SAS and Errg Zipo?,Ctvepy SAS,Errg Zipo,0.0,11.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Ajoo Gufx and Lasnoj SAS?,Ajoo Gufx,Lasnoj SAS,0.0,20.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ctvepy SAS and Xqtb Laur?,Ctvepy SAS,Xqtb Laur,0.0,11.
Who would decide the shipping method based on the contract between Mjlwxf NV and Dmimyu GmbH?,Mjlwxf NV,Dmimyu GmbH,0.0,Seller.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Mjlwxf NV and Errg Zipo?,Mjlwxf NV,Errg Zipo,0.0,5.
Who would decide the shipping method based on the contract between Avrbci Ltd and Paid Sick?,Avrbci Ltd,Paid Sick,0.0,Customer.
What was the total price in dollars of the good being sold based on the contract between Vkitze GmbH and Paid Sick?,Vkitze GmbH,Paid Sick,0.0,359.
What was the start date based on the contract between Mjlwxf NV and Skqn Esui?,Mjlwxf NV,Skqn Esui,0.0,14-06-1993.
After how many days would unpaid balances incur a late payment penalty based on the contract between Ajoo Gufx and Nchdfd AG?,Ajoo Gufx,Nchdfd AG,0.0,20.
At what hour did the workday start based on the contract between Tapd Abuk and Skqn Esui?,Tapd Abuk,Skqn Esui,0.0,10.
At what hour did the workday start based on the contract between Qsihxg GmbH and Txctcl AG?,Qsihxg GmbH,Txctcl AG,0.0,8.
At what hour did the workday start based on the contract between Yrnw Lvgj and Paid Sick?,Yrnw Lvgj,Paid Sick,0.0,9.
What was the late payment interest rate based on the contract between Ffsi Mneb and Paid Sick?,Ffsi Mneb,Paid Sick,0.0,3%.
What was the quantity of the good being sold based on the contract between Dmimyu GmbH and Jzrcws SA?,Dmimyu GmbH,Jzrcws SA,0.0,22.
What was the address of delivery based on the contract between Yrnw Lvgj and Mjlwxf NV?,Yrnw Lvgj,Mjlwxf NV,0.0,552 Iqlke Road.
What was the job position based on the contract between Vkitze GmbH and Qpubwe PLC?,Vkitze GmbH,Qpubwe PLC,0.0,Bond Settler.
What was the job position based on the contract between Nchdfd AG and Clsvfw AG?,Nchdfd AG,Clsvfw AG,0.0,Research Scientist.
What was the late payment interest rate based on the contract between Lasnoj SAS and Okrb Qxpd?,Lasnoj SAS,Okrb Qxpd,0.0,2%.
What was the start date based on the contract between Txctcl AG and Ffsi Mneb?,Txctcl AG,Ffsi Mneb,0.0,19-01-1984.
What was the address of delivery based on the contract between Qpubwe PLC and Dmimyu GmbH?,Qpubwe PLC,Dmimyu GmbH,0.0,929 Ynhghk Lane.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ajoo Gufx and Paid Sick?,Ajoo Gufx,Paid Sick,0.0,7.
What was the unit price in dollars of the good being sold based on the contract between Vkitze GmbH and Ffsi Mneb?,Vkitze GmbH,Ffsi Mneb,0.0,61.
What was the unit price in dollars of the good being sold based on the contract between Cqndue LLC and Mnmi Haem?,Cqndue LLC,Mnmi Haem,0.0,67.
Who would decide the shipping method based on the contract between Qsihxg GmbH and Yrnw Lvgj?,Qsihxg GmbH,Yrnw Lvgj,0.0,Seller.
Who would decide the shipping method based on the contract between Qpubwe PLC and Skqn Esui?,Qpubwe PLC,Skqn Esui,0.0,Customer.
What was the principal business location of Nchdfd AG based on the contract between Nchdfd AG and Dmimyu GmbH?,Nchdfd AG,Dmimyu GmbH,0.0,537 Bxmlle Road.
What was the unit price in dollars of the good being sold based on the contract between Mnmi Haem and Yrnw Lvgj?,Mnmi Haem,Yrnw Lvgj,0.0,67.
For how many months will the employer employ the employee based on the contract between Ffsi Mneb and Vkitze GmbH?,Ffsi Mneb,Vkitze GmbH,0.0,16 months.
How many days of paid holiday leave were provided to the employee based on the contract between Paid Sick and Mnmi Haem?,Paid Sick,Mnmi Haem,0.0,18.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Paid Sick and Lasnoj SAS?,Paid Sick,Lasnoj SAS,0.0,8.
What was the unit price in dollars of the good being sold based on the contract between Mnmi Haem and Ajoo Gufx?,Mnmi Haem,Ajoo Gufx,0.0,67.
What was the good that the seller was selling to the customer based on the contract between Okrb Qxpd and Ctvepy SAS?,Okrb Qxpd,Ctvepy SAS,0.0,Sunglasses.
What was the total price in dollars of the good being sold based on the contract between Nchdfd AG and Qsihxg GmbH?,Nchdfd AG,Qsihxg GmbH,0.0,3599.
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Txctcl AG?,Wnzatj SAS,Txctcl AG,0.0,5.
How many days of paid holiday leave were provided to the employee based on the contract between Mjlwxf NV and Wnzatj SAS?,Mjlwxf NV,Wnzatj SAS,0.0,21.
What was the good that the seller was selling to the customer based on the contract between Skqn Esui and Okrb Qxpd?,Skqn Esui,Okrb Qxpd,0.0,Necklaces.
What was the quantity of the good being sold based on the contract between Ffsi Mneb and Nchdfd AG?,Ffsi Mneb,Nchdfd AG,0.0,22.
How many days of paid holiday leave were provided to the employee based on the contract between Vkitze GmbH and Jzrcws SA?,Vkitze GmbH,Jzrcws SA,0.0,25.
What was the effective date of the contract between Xqtb Laur and Cqndue LLC?,Xqtb Laur,Cqndue LLC,0.0,06-01-1997.
What was the address of Yrnw Lvgj in the contract with Vkitze GmbH?,Yrnw Lvgj,Vkitze GmbH,0.0,537 Ykijsd Highway.
What was the address of Lasnoj SAS based on the contract between Nchdfd AG and Lasnoj SAS?,Lasnoj SAS,Nchdfd AG,0.0,25 ejdauz Vitkj Street.
For how many months did the non-compete clause cover based on the contract between Ecxk Avfj and Ffsi Mneb?,Ecxk Avfj,Ffsi Mneb,0.0,14.
Who would be responsible for the costs of the shipment based on the contract between Tapd Abuk and Okrb Qxpd?,Tapd Abuk,Okrb Qxpd,0.0,Customer.
What benefit was provided to the employee based on the contract between Ajoo Gufx and Ffsi Mneb?,Ajoo Gufx,Ffsi Mneb,0.0,vision insurance.
What was the address of Mjlwxf NV based on the contract between Yrnw Lvgj and Mjlwxf NV?,Mjlwxf NV,Yrnw Lvgj,0.0,628 Xsaesj Place.
At what hour did the workday finish based on the contract between Skqn Esui and Clsvfw AG?,Skqn Esui,Clsvfw AG,0.0,18.
What was the hourly basic pay in dollars based on the contract between Tapd Abuk and Yrnw Lvgj?,Tapd Abuk,Yrnw Lvgj,0.0,45.
Who would decide the shipping method based on the contract between Jzrcws SA and Errg Zipo?,Jzrcws SA,Errg Zipo,0.0,Customer.
What was the number of days the employee was entitled to Ecxk Avfj in each year of employment based on the contract between Yrnw Lvgj and {ENT3}?,Ecxk Avfj,Yrnw Lvgj,0.0,11.
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Nchdfd AG?,Wnzatj SAS,Nchdfd AG,0.0,949 Ynxtx Road.
What was the unit price in dollars of the good being sold based on the contract between Tapd Abuk and Paid Sick?,Tapd Abuk,Paid Sick,0.0,67.
What was the unit price in dollars of the good being sold based on the contract between Ffsi Mneb and Cqndue LLC?,Ffsi Mneb,Cqndue LLC,0.0,67.
For how many months will the employer employ the employee based on the contract between Qpubwe PLC and Ctvepy SAS?,Qpubwe PLC,Ctvepy SAS,0.0,16 months.
At what hour did the workday start based on the contract between Qpubwe PLC and Nchdfd AG?,Qpubwe PLC,Nchdfd AG,0.0,11.
What was the late payment interest rate based on the contract between Qpubwe PLC and Avrbci Ltd?,Qpubwe PLC,Avrbci Ltd,0.0,5%.
Who would be responsible for the costs of the shipment based on the contract between Xqtb Laur and Txctcl AG?,Xqtb Laur,Txctcl AG,0.0,Customer.
After how many days would unpaid balances incur a late payment penalty based on the contract between Nchdfd AG and Avrbci Ltd?,Nchdfd AG,Avrbci Ltd,0.0,20.
What was the job position based on the contract between Ecxk Avfj and Paid Sick?,Ecxk Avfj,Paid Sick,0.0,Data Analyst.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Qsihxg GmbH and Skqn Esui?,Qsihxg GmbH,Skqn Esui,0.0,8.
What was the late payment interest rate based on the contract between Ctvepy SAS and Qpubwe PLC?,Ctvepy SAS,Qpubwe PLC,0.0,2%.
What was the effective date of the contract between Mjlwxf NV and Ajoo Gufx?,Mjlwxf NV,Ajoo Gufx,0.0,15-02-1993.
What was the effective date of the contract between Vkitze GmbH and Ffsi Mneb?,Vkitze GmbH,Ffsi Mneb,0.0,04-09-1995.
What was the work location based on the contract between Xqtb Laur and Ffsi Mneb?,Xqtb Laur,Ffsi Mneb,0.0,715 Ubifxa Road.
What was the duration of the cooling-off period in days based on the contract between Qsihxg GmbH and Jzrcws SA?,Qsihxg GmbH,Jzrcws SA,0.0,13.
Who would be responsible for the costs of the shipment based on the contract between Tapd Abuk and Yrnw Lvgj?,Tapd Abuk,Yrnw Lvgj,0.0,Customer.
What was the total price in dollars of the good being sold based on the contract between Clsvfw AG and Errg Zipo?,Clsvfw AG,Errg Zipo,0.0,28.
Who would be responsible for the costs of the shipment based on the contract between Ctvepy SAS and Clsvfw AG?,Ctvepy SAS,Clsvfw AG,0.0,Customer.
After how many days would unpaid balances incur a late payment penalty based on the contract between Qpubwe PLC and Ffsi Mneb?,Qpubwe PLC,Ffsi Mneb,0.0,10.
For how many months did the non-compete clause cover based on the contract between Txctcl AG and Paid Sick?,Txctcl AG,Paid Sick,0.0,14.
What was the hourly basic pay in dollars based on the contract between Nchdfd AG and Mnmi Haem?,Nchdfd AG,Mnmi Haem,0.0,91.
At what hour did the workday start based on the contract between Txctcl AG and Qsihxg GmbH?,Txctcl AG,Qsihxg GmbH,0.0,8.
What was the duration of the cooling-off period in days based on the contract between Paid Sick and Ecxk Avfj?,Paid Sick,Ecxk Avfj,0.0,7.
What was the work location based on the contract between Mjlwxf NV and Qpubwe PLC?,Mjlwxf NV,Qpubwe PLC,0.0,228 Iupdbg Road.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Vkitze GmbH and Cqndue LLC?,Vkitze GmbH,Cqndue LLC,0.0,2.
How many days of paid holiday leave were provided to the employee based on the contract between Skqn Esui and Txctcl AG?,Skqn Esui,Txctcl AG,0.0,18.
What was the duration of the general warranty period in years based on the contract between Ecxk Avfj and Clsvfw AG?,Ecxk Avfj,Clsvfw AG,0.0,5.
What was the job position based on the contract between Skqn Esui and Ecxk Avfj?,Skqn Esui,Ecxk Avfj,0.0,Risk Management.
What was the total price in dollars of the good being sold based on the contract between Qpubwe PLC and Skqn Esui?,Qpubwe PLC,Skqn Esui,0.0,1809.
After how many days would unpaid balances incur a late payment penalty based on the contract between Ctvepy SAS and Paid Sick?,Ctvepy SAS,Paid Sick,0.0,10.
Which jurisdiction's laws govern the contract between Qpubwe PLC and Nchdfd AG?,Qpubwe PLC,Nchdfd AG,0.0,The State of North Carolina.
What was the frequency of salary payment based on the contract between Nchdfd AG and Okrb Qxpd?,Nchdfd AG,Okrb Qxpd,0.0,bi-weekly.
What was the address of Clsvfw AG in the contract with Avrbci Ltd?,Clsvfw AG,Avrbci Ltd,0.0,537 NJ Zuve.
What was the work location based on the contract between Ecxk Avfj and Cqndue LLC?,Ecxk Avfj,Cqndue LLC,0.0,725 Wbjiq Point.
